tax_id	superkingdom	phylum	class	order	family	genus	species
18692	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_danieliae
18693	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_incommunis
18694	Fungi	Ascomycota	Sordariomycetes	Savoryellales	Savoryellaceae	Savoryella	Savoryella_aquatica
18695	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Cornuvesica	Cornuvesica_magnispora
18696	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella_typhae
18697	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_leoncinii
18698	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Strophariaceae	Tubaria	Tubaria_segestria
18699	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pisoniae
18700	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Hyaloriaceae	Myxarium	Myxarium_cinnamomescens
18701	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiales_fam_Incertae_sedis	Goidanichiella	Goidanichiella_barronii
18702	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_brunneifolius
18703	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Diutina	Diutina_siamensis
18704	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena_maurella
18705	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum_glaucopus
18706	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces_sp
18707	Fungi	Basidiomycota	Agaricomycetes	Russulales	Lachnocladiaceae	Vararia	Vararia_gallica
18708	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Scleroconidioma	Scleroconidioma_sphagnicola
18709	Fungi	Basidiomycota	Agaricomycetes	Boletales	Serpulaceae	Serpula	Serpula_dendrocalami
18710	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Entolomataceae	Entoloma	Entoloma_caesiocinctum
18711	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Dichotomopilus	Dichotomopilus_dolichotrichus
18712	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Lamprospora	Lamprospora_densireticulata
18713	Fungi	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Physodermataceae	Paraphysoderma	Paraphysoderma_sedebokerense
18714	Fungi	Ascomycota	Laboulbeniomycetes	Laboulbeniales	Laboulbeniaceae	Rickia	Rickia_wasmannii
18715	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Mycorrhaphium	Mycorrhaphium_sp
18716	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neoscytalidium	Neoscytalidium_novaehollandiae
18717	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_ohauensis
18718	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Syzygosporaceae	Syzygospora	Syzygospora_sp
18719	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Cystoagaricus	Cystoagaricus_sp
18720	Fungi	Ascomycota	Dothideomycetes	Valsariales	Valsariaceae	Myrmaecium	Myrmaecium_rubrum
18721	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	Hymenoscyphus_peruni
18722	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius_lacunarum
18723	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_verhagenii
18724	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Butyriboletus	Butyriboletus_regius
18725	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_pocillator
18726	Fungi	Ascomycota	Geoglossomycetes	Geoglossales	Geoglossaceae	Geoglossum	Geoglossum_variabilisporum
18727	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_cisticola
18728	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis_aspera
18729	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Stereocaulaceae	Lepraria	Lepraria_harrisiana
18730	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	unidentified	Trichomonascaceae_sp
18731	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Cryptocoryneum	Cryptocoryneum_condensatum
18732	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phanerochaete	Phanerochaete_burtii
18733	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Cora	Cora_palaeotropica
18734	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia_heteropogonis
18735	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_melanopus
18736	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Macalpinomyces	Macalpinomyces_spermophorus
18737	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	Arthrinium	Arthrinium_pseudoparenchymaticum
18738	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe_passiflorae
18739	Fungi	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiaceae	unidentified	Rhizophydiaceae_sp
18740	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_pallida
18741	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Psathyrella	Psathyrella_rostellata
18742	Fungi	Ascomycota	Sordariomycetes	Xylariales	Amphisphaeriaceae	Seimatosporium	Seimatosporium_quercinum
18743	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_marcescibilis
